mdate,defl,date
2018m8,1.14226719038453,2018-08-01
2018m9,1.14793812050565,2018-09-01
2018m10,1.15058868640413,2018-10-01
2018m11,1.15478028539848,2018-11-01
2018m12,1.15034210824464,2018-12-01
2019m1,1.17530668819022,2019-01-01
2019m2,1.18677190642729,2019-02-01
2019m3,1.19330583713492,2019-03-01
2019m4,1.19842200085473,2019-04-01
2019m5,1.20316836625039,2019-05-01
2019m6,1.21087348578636,2019-06-01
2019m7,1.2201195924748,2019-07-01
2019m8,1.23090677820251,2019-08-01
2019m9,1.23725578677637,2019-09-01
2019m10,1.24656354949054,2019-10-01
2019m11,1.25180302526179,2019-11-01
2019m12,1.25143318099425,2019-12-01
2020m1,1.2776305598505,2020-01-01
2020m2,1.28545894549451,2020-02-01
2020m3,1.30259509385269,2020-03-01
2020m4,1.32860755057517,2020-04-01
2020m5,1.33612774797737,2020-05-01
2020m6,1.33637432613685,2020-06-01
2020m7,1.34370955546189,2020-07-01
2020m8,1.35141467499786,2020-08-01
2020m9,1.36004440520267,2020-09-01
2020m10,1.3679344468724,2020-10-01
2020m11,1.37181781168155,2020-11-01
2020m12,1.36922890180878,2020-12-01
2021m1,1.39117307158834,2021-01-01
2021m2,1.40263824388202,2021-02-01
2021m3,1.41126797408683,2021-03-01
2021m4,1.41835667119577,2021-04-01
2021m5,1.42482899182107,2021-05-01
2021m6,1.434321676669,2021-06-01
2021m7,1.44178021804548,2021-07-01
2021m8,1.45404673489995,2021-08-01
2021m9,1.46076558774135,2021-09-01
2021m10,1.47592924865379,2021-10-01
2021m11,1.47968934735489,2021-11-01
2021m12,1.47820997028474,2021-12-01
